0,1,2
Adirondack_Hazy.bmp,0.9868,0.0888
Backpack_Hazy.bmp,0.9788,0.1006
Bicycle1_Hazy.bmp,0.97,0.1512
Cable_Hazy.bmp,0.9785,0.1211
Classroom1_Hazy.bmp,0.985,0.0963
Couch_Hazy.bmp,0.985,0.0889
Flowers_Hazy.bmp,0.9595,0.184
Jadeplant_Hazy.bmp,0.981,0.1037
Mask_Hazy.bmp,0.9555,0.1831
Motorcycle_Hazy.bmp,0.9892,0.0638
Piano_Hazy.bmp,0.987,0.0772
Pipes_Hazy.bmp,0.9828,0.0943
Playroom_Hazy.bmp,0.9855,0.0904
Playtable_Hazy.bmp,0.9862,0.0798
Recycle_Hazy.bmp,0.9808,0.1093
Shelves_Hazy.bmp,0.985,0.086
Shopvac_Hazy.bmp,0.968,0.16
Sticks_Hazy.bmp,0.9615,0.137
Storage_Hazy.bmp,0.9732,0.1487
Sword1_Hazy.bmp,0.9708,0.1105
Sword2_Hazy.bmp,0.9452,0.2023
Umbrella_Hazy.bmp,0.979,0.1148
Vintage_Hazy.bmp,0.9585,0.1578
