0,1,2
01_indoor_hazy.jpg,1.0,0.0
02_indoor_hazy.jpg,0.83,0.2328
03_indoor_hazy.jpg,0.952,0.0914
04_indoor_hazy.jpg,0.98,0.06
05_indoor_hazy.jpg,0.87,0.2141
06_indoor_hazy.jpg,0.978,0.0494
07_indoor_hazy.jpg,0.998,0.006
08_indoor_hazy.jpg,0.933,0.1228
09_indoor_hazy.jpg,0.945,0.1362
10_indoor_hazy.jpg,0.95,0.1157
11_indoor_hazy.jpg,0.893,0.2182
12_indoor_hazy.jpg,0.994,0.018
13_indoor_hazy.jpg,0.993,0.0155
14_indoor_hazy.jpg,0.971,0.0584
15_indoor_hazy.jpg,0.942,0.1144
16_indoor_hazy.jpg,0.957,0.1225
17_indoor_hazy.jpg,0.949,0.1245
18_indoor_hazy.jpg,0.996,0.012
19_indoor_hazy.jpg,0.908,0.2694
20_indoor_hazy.jpg,0.971,0.0601
21_indoor_hazy.jpg,0.924,0.1717
22_indoor_hazy.jpg,0.94,0.1036
23_indoor_hazy.jpg,0.884,0.2595
24_indoor_hazy.jpg,0.986,0.0294
25_indoor_hazy.jpg,0.968,0.0606
31_indoor_hazy.jpg,0.958,0.1227
32_indoor_hazy.jpg,1.0,0.0
33_indoor_hazy.jpg,0.816,0.2827
34_indoor_hazy.jpg,0.99,0.03
35_indoor_hazy.jpg,0.997,0.009
